,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-03-20,4.054,,28.371,39.297,49.3358,40.0656,20.2201,9.1035,15.4141,23.776
2019-03-21,4.1,,27.8711,39.2776,49.6191,39.5403,20.0698,9.0064,15.4536,23.3394
2019-03-22,3.96,,27.0488,38.0418,48.7692,39.176,19.2136,8.8414,14.7431,23.1449
2019-03-25,3.86,,27.0891,38.2349,48.6031,38.3421,19.4231,8.7862,14.674,23.1622
2019-03-26,3.924,,27.3713,37.7618,49.2479,39.1089,19.5825,8.7667,15.0391,23.5555
2019-03-27,3.85,,26.4441,36.4583,48.4565,38.1216,18.6717,8.4894,14.4569,22.9763
2019-03-28,3.798,,27.4922,37.559,48.0951,38.9076,18.8083,8.7813,14.6838,23.2227
2019-03-29,3.78,,27.7582,37.5783,48.8278,38.8693,18.699,8.757,14.9404,23.2702
2019-04-01,3.876,,27.5526,37.2211,49.5507,38.8693,19.1362,8.791,15.868,23.3797
2019-04-02,3.88,,27.117,37.4142,49.2381,39.1952,19.1271,8.8786,15.868,23.3403
2019-04-03,3.8,,26.875,37.3659,48.7985,38.6872,18.5579,8.9856,15.7891,23.7569
2019-04-04,3.788,,27.2783,37.7328,48.1635,38.7543,18.6717,9.151,15.9864,23.4762
2019-04-05,3.778,,27.8671,37.6556,48.3393,38.9172,18.8584,9.2775,15.5621,24.1209
2019-04-08,3.75,,27.6977,36.7287,48.0267,38.8501,19.5825,9.1218,15.6411,24.4674
2019-04-09,3.602,,27.5445,35.9273,47.8997,38.3421,19.3958,9.0051,15.3944,23.8753
2019-04-10,3.784,,27.4961,36.6418,47.8704,38.3421,19.373,8.9175,15.3253,23.3052
2019-04-11,3.626,,26.8589,35.9949,47.5773,37.8532,19.5598,8.8689,14.9898,23.5157
2019-04-12,3.64,,26.5766,34.9617,47.3819,37.2877,19.4277,8.8737,14.8121,23.5157
2019-04-15,3.61,,26.5605,35.4348,47.2842,37.767,18.567,8.9516,14.5852,23.8051
2019-04-16,3.582,,26.5363,35.4348,46.0239,37.997,18.4076,9.1218,14.8812,24.5595
2019-04-17,3.62,,26.1249,35.6473,45.1349,37.3835,18.148,9.0051,14.7825,24.7393
2019-04-18,3.59,,26.4798,36.1107,46.3073,38.0833,18.3529,9.0635,14.7332,24.2612
2019-04-22,3.862,,26.4072,36.6026,45.7211,38.7734,18.5579,9.1218,14.7529,24.5156
2019-04-23,3.962,,26.746,37.1625,47.3819,38.5721,18.444,9.3651,14.5358,24.6823
2019-04-24,3.87,,26.7863,37.133,48.8278,38.6488,18.8994,9.1462,14.4075,24.6252
2019-04-25,3.798,,27.1977,37.1527,49.4042,39.1089,18.8493,9.2678,14.3878,24.6559
2019-04-26,3.74,,27.2622,37.0643,49.6484,38.8693,18.5351,9.2824,14.1806,24.8182
2019-04-29,3.66,,27.0444,37.025,48.9255,39.2527,18.3302,9.1218,14.2003,24.2525
2019-04-30,3.69,,27.2864,37.5063,49.8243,40.0675,18.7173,9.0391,13.9635,23.735
2019-05-02,3.53,,27.4679,36.632,49.04,40.2592,19.2126,9.1316,13.8154,23.8271
2019-05-03,3.516,,27.2016,37.5947,50.1973,40.1346,19.2126,9.0732,14.0424,22.9587
2019-05-06,3.49,,26.6045,37.2902,49.2361,40.3263,19.6906,8.9321,13.8944,22.9148
2019-05-07,3.46,,26.3059,37.1429,49.6873,40.5947,19.3942,8.8251,14.0325,23.2789
2019-05-08,3.56,,26.6045,38.3119,49.9227,40.7672,19.2317,9.0537,14.3089,23.4718
2019-05-09,3.486,,26.2736,37.8207,48.6084,40.9398,19.1457,9.0245,14.0523,22.8666
2019-05-10,3.504,,26.1526,37.6439,47.5688,40.0675,18.5435,8.9662,13.9635,22.8052
2019-05-13,3.318,,25.741,37.2411,47.3432,39.6936,17.5877,8.757,13.628,22.5421
2019-05-14,3.41,,25.62,36.9366,47.0784,41.0164,17.7789,8.7618,13.7661,22.4982
2019-05-15,3.422,,25.7007,36.298,46.9607,41.074,17.2914,8.757,13.7365,22.1035
2019-05-16,3.76,,25.3699,35.3844,46.5095,41.0164,16.5649,8.757,13.5589,21.7088
